Frontier,SolutionIndex,Fire Hazard Increase,Northern Spotted Owl Habitat (ha),Peak Sediment Delivery (t)
Ensemble_rcp85,0,15717.023006650406,2479.3071950434055,0.0
Ensemble_rcp85,1,13834.599199366798,2431.027735539192,72.72844304360535
Ensemble_rcp85,2,13831.398746680074,2460.399402140342,82.78300589188336
Ensemble_rcp85,3,13835.503159990467,2461.724997041292,82.78300589188336
Ensemble_rcp85,4,13839.497326187746,2440.6413123681523,72.72844304360535
Ensemble_rcp85,5,13839.676601282217,2442.204017527842,72.72844304360535
Ensemble_rcp85,6,13832.834515754046,2447.897525250741,81.99142168541536
Ensemble_rcp85,7,13799.760191758118,2429.0808915064995,82.78300589188336
Ensemble_rcp85,8,13839.101120254707,2445.091482409951,73.52002725007335
Ensemble_rcp85,9,13840.545595640779,2407.4161662261663,68.11802952260335
Ensemble_rcp85,10,13844.076280655303,2428.139435478552,68.11802952260335
Ensemble_rcp85,11,13844.315079703994,2429.702140638242,68.11802952260335
Ensemble_rcp85,12,13843.280658422429,2443.5296124287925,72.72844304360535
Ensemble_rcp85,13,13803.570512161448,2430.265863435122,82.78300589188336
Ensemble_rcp85,14,13841.759072356917,2446.6348927801623,73.52002725007335
Ensemble_rcp85,15,15495.081943132109,2476.1220762697926,0.0001304716424399971
Ensemble_rcp85,16,13841.414618171682,2465.42229109472,82.78300589188336
Ensemble_rcp85,17,13853.84417632706,2465.42229109472,81.99142168541536
Ensemble_rcp85,18,13846.62185543144,2468.9672928303303,82.78300589188336
Ensemble_rcp85,19,13853.95512760116,2470.0174449080205,82.64902045219137
Ensemble_rcp85,20,13845.945200888813,2431.027735539192,68.11802952260335
Ensemble_rcp85,21,13806.726690370167,2442.204017527842,82.78300589188336
Ensemble_rcp85,22,13841.99410506001,2447.897525250742,73.52002725007335
Ensemble_rcp85,23,15226.950029731554,2466.20798723634,0.00527707352107
Ensemble_rcp85,24,13851.38478080619,2460.9631249372223,73.52002725007335
Ensemble_rcp85,25,13853.179881543649,2447.897525250742,72.72844304360535
Ensemble_rcp85,26,13806.305512630608,2407.6878136790415,81.99142168541536
Ensemble_rcp85,27,13815.151996793797,2406.1251085193517,73.52002725007335
Ensemble_rcp85,28,13815.331271888268,2407.6878136790415,73.52002725007335
Ensemble_rcp85,29,15314.800720277648,2481.011723301426,0.00527707352107
Ensemble_rcp85,30,13845.600386436508,2445.0124322225724,72.72844304360535
Ensemble_rcp85,31,13885.475556237798,2467.34483227274,68.11802952260335
Ensemble_rcp85,32,13888.872277098733,2465.42229109472,65.66769499471337
Ensemble_rcp85,33,13887.992696528223,2470.852815157776,72.59445760391334
Ensemble_rcp85,34,13888.634960876125,2473.443414383246,73.38604181038136
Ensemble_rcp85,35,13890.085415203797,2468.39498435043,67.98404408291135
Ensemble_rcp85,36,13890.340897822733,2467.3448322727404,65.66769499471337
Ensemble_rcp85,37,13888.12914903025,2476.1123783827056,82.64902045219137
Ensemble_rcp85,38,13892.01456611113,2472.1178194822955,72.59445760391336
Ensemble_rcp85,39,13896.491946574264,2469.4452068470155,68.11802952260335
Ensemble_rcp85,40,13841.002061894253,2465.4222910947196,82.78300589188336
Ensemble_rcp85,41,13888.54941571327,2446.8411593439705,64.87611078824537
Ensemble_rcp85,42,13894.349141096902,2468.6098365972603,65.66769499471337
Ensemble_rcp85,43,13884.744396252969,2443.5296124287925,60.26569726724337
Ensemble_rcp85,44,13886.413680470841,2445.0124322225724,61.10860761077237
Ensemble_rcp85,45,13886.821448634035,2445.012432222571,60.26569726724337
Ensemble_rcp85,46,15238.858671685388,2469.6599886749505,0.00527707352107
