Stand,HillID,Hill Area (ha) within stand,PortionOfTotalHillArea,Sediment contribution from Hill segment (tonne/yr),CumulativeStandSedimentDelivery (tonnes),TotalStandSedimentDelivery
1,254,1.353835446,0.097398234,0.000,0,0
1,357,2.489182971,0.270563366,0.000,0,0
1,255,3.034350157,0.224766678,0.000,0,0
1,245,2.727298903,0.340912363,0.000,0,0
1,243,6.86213819,0.672758646,0.000,0,0
1,247,0.6622541,0.057587313,0.000,0,0
1,242,2.735160217,0.329537376,0.000,0,0
1,244,1.48117203,0.105047662,0.000,0,0
1,234,0.758879617,0.067757109,0.000,0,0
2,317,3.216557984,0.114468256,0.034,0.034340477,4.95220525
2,315,3.549777411,0.438244125,0.000,0.034340477,4.95220525
2,3,0.71687695,0.043185358,0.000,0.034340477,4.95220525
2,313,3.526023784,0.163241842,0.000,0.034340477,4.95220525
2,135,19.02765039,0.495511729,0.099,0.133442822,4.95220525
2,280,13.62150519,0.661238116,0.000,0.133442822,4.95220525
2,284,0.155485839,0.014531387,0.000,0.133442822,4.95220525
2,281,4.476133369,0.771747133,0.000,0.133442822,4.95220525
2,17,4.487376703,0.207748921,0.042,0.174992607,4.95220525
2,136,0.270130159,0.006891075,0.051,0.225986565,4.95220525
2,137,6.466376244,0.229304122,0.000,0.225986565,4.95220525
2,136,23.72237548,0.60516264,4.478,4.7041901,4.95220525
2,134,4.238804384,0.225468318,0.248,4.95220525,4.95220525
2,138,0.070209589,0.002797195,0.000,4.95220525,4.95220525
20,341,0.859171081,0.064117245,0.000,0,0
20,264,1.282289905,0.12822899,0.000,0,0
20,265,4.113822962,0.472853214,0.000,0,0
20,269,0.020198366,0.010099183,0.000,0,0
20,344,0.079193304,0.158386609,0.000,0,0
20,342,3.101991317,0.469998684,0.000,0,0
20,343,3.827725129,0.539116215,0.000,0,0
20,345,0.206775812,0.025527878,0.000,0,0
20,258,0.090045417,0.12863631,0.000,0,0
20,266,20.12908071,0.972419358,0.000,0,0
20,256,7.394498495,0.859825406,0.000,0,0
20,257,6.659572828,0.951367547,0.000,0,0
20,263,4.714017175,0.567953876,0.000,0,0
20,259,2.51613239,0.314516549,0.000,0,0
20,258,0.288708521,0.412440744,0.000,0,0
20,248,0.090045182,0.017655918,0.000,0,0
20,250,0.49063767,0.446034246,0.000,0,0
20,356,6.09565752,0.331285735,0.000,0,0
20,355,2.152696815,0.321298032,0.000,0,0
20,253,2.490471332,0.132471879,0.000,0,0
20,262,0.022810057,0.000792016,0.000,0,0
20,205,8.020909282,0.72260444,0.000,0,0
20,248,5.042533016,0.988731964,0.000,0,0
20,252,0.540272049,1.080544098,0.000,0,0
20,251,7.887691041,0.896328527,0.000,0,0
20,249,5.76289969,0.993603395,0.000,0,0
20,215,0.090045167,0.900451674,0.000,0,0
20,254,6.610465841,0.475573082,0.000,0,0
20,357,4.504694521,0.489640709,0.000,0,0
20,246,4.502272684,1.000505041,0.000,0,0
20,254,0.090045981,0.006478128,0.000,0,0
20,255,8.955440598,0.66336597,0.000,0,0
20,216,6.09917839,0.896937999,0.000,0,0
20,245,5.279689306,0.659961163,0.000,0,0
20,207,0.359669352,0.399632614,0.000,0,0
20,226,0.149297537,0.497658456,0.000,0,0
20,209,0.090045109,0.045022554,0.000,0,0
20,243,0.738488193,0.072400803,0.000,0,0
20,247,9.003384195,0.782902973,0.000,0,0
20,208,0.127827799,0.142030888,0.000,0,0
20,228,0.015144869,0.021635528,0.000,0,0
20,242,0.118478558,0.014274525,0.000,0,0
20,206,0.593863857,0.059986248,0.000,0,0
20,209,0.039965489,0.019982744,0.000,0,0
20,217,0.60257769,0.078256843,0.000,0,0
20,210,0.007603855,0.001226428,0.000,0,0
21,190,2.37415E-06,2.8953E-07,0.000,0,0
21,179,3.149489024,0.388825805,0.000,0,0
21,94,0.240352349,0.024778593,0.000,0,0
21,97,5.977325309,0.703214742,0.000,0,0
21,180,0.123051634,0.094655103,0.000,0,0
21,96,0.301980329,0.167766849,0.000,0,0
21,171,12.81131863,0.767144828,0.000,0,0
21,181,2.574942541,0.451744305,0.000,0,0
21,176,2.497337464,0.356762495,0.000,0,0
21,166,0.490114737,0.11954018,0.000,0,0
21,166,0.090044991,0.021962193,0.000,0,0
21,165,0.264359515,0.101676737,0.000,0,0
21,167,1.658577971,0.975634101,0.000,0,0
21,170,5.085090077,0.598245891,0.000,0,0
21,169,9.546674044,0.909207052,0.000,0,0
21,168,4.320472523,0.815183495,0.000,0,0
21,168,0.090045109,0.016989643,0.000,0,0
21,168,0.090045094,0.01698964,0.000,0,0
21,168,0.003901849,0.000736198,0.000,0,0
21,172,2.419021358,0.967608543,0.000,0,0
21,174,4.924612157,0.315680266,0.000,0,0
21,174,2.05256286,0.131574542,0.000,0,0
21,173,0.841869864,0.051648458,0.000,0,0
21,178,0.341595455,0.027771988,0.000,0,0
25,384,2.080116541,0.21225679,0.000,0,0
25,389,0.033015899,0.003751807,0.000,0,0
25,405,0.018021614,0.001594833,0.000,0,0
25,411,0.398080335,0.044728127,0.000,0,0
