FID,NewId,MEAN_piveg,MEAN_piv_1,FIRST_NewI,SUM_Drink_,Area,Length
0,1,17.500000000000000,1.000000000000000,1,258366.500000000000000,63.874862718999999,0
1,2,15.000000000000000,1.000000000000000,2,2790429.898440000100000,225.158327606000000,0
2,20,70.000000000000000,1.000000000000000,20,1484540.000000000000000,367.015313537999990,0
3,21,57.500000000000000,1.000000000000000,21,953910.000000000000000,235.829144667000010,0
4,25,65.000000000000000,1.000000000000000,25,1619310.000000000000000,400.336488646000020,0
5,26,60.000000000000000,1.000000000000000,26,216207.101563000000000,53.452149038500004,0
6,30,37.500000000000000,2.000000000000000,30,858245.000000000000000,212.179706667000000,0
7,32,67.500000000000000,2.000000000000000,32,532994.000000000000000,131.768029113000010,0
8,33,26.750000000000000,2.250000000000000,33,463677.402344000000000,114.631545958999990,0
9,34,45.000000000000000,2.000000000000000,34,342575.800781000000000,84.692202270199999,0
10,41,76.000000000000000,3.000000000000000,41,85098.101562500000000,21.037990334800000,0
11,47,75.000000000000000,2.000000000000000,47,441020.703125000000000,109.029155921000000,0
12,55,57.500000000000000,2.000000000000000,55,110414.097656000000000,27.296688157300000,0
13,56,80.000000000000000,2.000000000000000,56,131106.000000000000000,32.412129196800002,0
14,57,68.333333333300004,2.000000000000000,57,472086.000000000000000,116.709568563999990,0
15,58,43.000000000000000,2.000000000000000,58,290572.601563000000000,71.835740442900004,0
16,59,61.000000000000000,2.000000000000000,59,348692.500000000000000,86.204627161999994,0
17,60,42.500000000000000,2.000000000000000,60,184563.000000000000000,45.628002569899998,0
18,61,23.000000000000000,2.000000000000000,61,898784.003906000060000,222.202554565000010,0
19,62,55.250000000000000,2.000000000000000,62,343386.400390999970000,84.893115461400001,0
20,72,27.500000000000000,2.000000000000000,72,218925.203125000000000,54.123100140900000,0
21,78,35.000000000000000,2.000000000000000,78,410673.597656000000000,101.527993334000000,0
22,80,47.500000000000000,2.000000000000000,80,370059.000000000000000,91.487166510099996,0
23,81,51.250000000000000,2.250000000000000,81,292746.199219000000000,72.373127019799995,0
24,82,40.000000000000000,2.000000000000000,82,195456.898438000000000,48.321276850200000,0
25,86,52.500000000000000,2.000000000000000,86,291269.000000000000000,72.009130447800004,0
26,108,38.333333333299997,3.000000000000000,108,316514.300781000000000,78.249390326799997,0
27,109,62.500000000000000,3.000000000000000,109,113122.601563000000000,27.966282881600002,0
28,111,81.666666666699996,3.000000000000000,111,405018.699219000000000,100.129101566000000,0
29,113,80.000000000000000,3.000000000000000,113,67760.296875000000000,16.751742537900000,0
