Stand ID,Mgmt ID,2025,2045
1_78828_MHD,NONE,3,3
1_82721_MHD,E45,0,2
1_82721_MHD,E85,0,2
1_82721_MHD,NONE,2,3
1_83057_MHD,E45,0,2
1_83057_MHD,E85,0,2
1_83057_MHD,NONE,2,3
1_84053_MHD,E45,0,2
1_84053_MHD,E85,0,3
1_84053_MHD,NONE,2,3
1_84088_MHD,E45,2,2
1_84088_MHD,E85,2,2
1_84088_MHD,NONE,2,0
1_84328_MHD,E45,0,2
1_84328_MHD,E85,0,2
1_84328_MHD,NONE,2,0
1_94203_MHD,E45,0,2
1_94203_MHD,E85,0,2
1_94203_MHD,NONE,2,2
1_136257_MHD,E45,0,2
1_136257_MHD,E85,0,2
1_136257_MHD,NONE,2,2
1_137234_MHD,E45,0,2
1_137234_MHD,E85,0,2
1_137234_MHD,NONE,2,0
1_137444_MHD,E45,0,2
1_137444_MHD,E85,0,2
1_137444_MHD,NONE,2,2
1_145200_MHD,E45,2,2
1_145200_MHD,E85,2,2
1_145200_MHD,NONE,2,0
1_145381_MHD,E45,0,2
1_145381_MHD,E85,0,2
1_145381_MHD,NONE,3,2
1_145522_MHD,E45,0,2
1_145522_MHD,E85,0,3
1_145522_MHD,NONE,2,2
1_149512_MHD,E45,2,2
1_149512_MHD,E85,2,2
1_149512_MHD,NONE,2,2
2_1063_MCD,E45,2,2
2_1063_MCD,E85,2,2
2_1063_MCD,NONE,2,2
2_2331_MCD,E45,2,2
2_2331_MCD,E85,2,2
2_2331_MCD,NONE,2,2
2_2831_MCD,E45,0,2
2_2831_MCD,E85,0,2
2_2831_MCD,NONE,2,0
2_2877_MCD,E45,2,2
2_2877_MCD,E85,2,2
2_2877_MCD,NONE,2,2
2_2882_MCD,E45,2,2
2_2882_MCD,E85,2,2
2_2882_MCD,NONE,2,2
2_2924_MCD,E45,2,2
2_2924_MCD,E85,2,2
2_2924_MCD,NONE,2,3
2_8048_MCD,E45,0,2
2_8048_MCD,E85,0,2
2_8048_MCD,NONE,0,2
2_8073_MCD,E45,2,2
2_8073_MCD,E85,2,2
2_8073_MCD,NONE,2,2
2_8142_MCD,E45,2,2
2_8142_MCD,E85,2,2
2_8142_MCD,NONE,2,2
2_8144_MCD,E45,2,2
2_8144_MCD,E85,2,2
2_8144_MCD,NONE,2,2
2_8172_MCD,E45,2,2
2_8172_MCD,E85,2,2
2_8172_MCD,NONE,2,2
2_8191_MCD,E45,2,2
2_8191_MCD,E85,2,2
2_8191_MCD,NONE,2,2
2_8534_MCD,E45,2,2
2_8534_MCD,E85,2,0
2_8534_MCD,NONE,3,3
2_8663_MCD,E45,2,2
2_8663_MCD,E85,2,2
2_8663_MCD,NONE,2,2
2_8685_MCD,E45,3,2
2_8685_MCD,E85,1,1
2_8685_MCD,NONE,3,2
2_8711_MCD,E45,2,2
2_8711_MCD,E85,2,2
2_8711_MCD,NONE,2,2
2_9091_MCD,E45,1,2
2_9091_MCD,E85,0,2
2_9091_MCD,NONE,2,2
2_11891_MCD,E45,2,2
2_11891_MCD,E85,2,2
2_11891_MCD,NONE,2,2
2_12107_MCD,E45,2,2
2_12107_MCD,E85,2,2
2_12107_MCD,NONE,2,2
2_12109_MCD,E45,0,4
2_12109_MCD,E85,0,4
2_12109_MCD,NONE,0,2
2_12111_MCD,E45,3,2
2_12111_MCD,E85,3,2
2_12111_MCD,NONE,3,2
2_12155_MCD,E45,2,2
2_12155_MCD,E85,2,2
2_12155_MCD,NONE,2,2
2_12194_MCD,E45,2,2
2_12194_MCD,E85,2,2
2_12194_MCD,NONE,2,2
2_12197_MCD,E45,2,3
2_12197_MCD,E85,2,3
2_12197_MCD,NONE,2,3
2_12293_MCD,E45,2,2
2_12293_MCD,E85,2,2
2_12293_MCD,NONE,2,3
2_12555_MCD,E45,2,2
2_12555_MCD,E85,2,2
2_12555_MCD,NONE,2,2
2_12917_MCD,E45,1,2
2_12917_MCD,E85,1,1
2_12917_MCD,NONE,3,2
2_12918_MCD,E45,0,2
2_12918_MCD,E85,0,2
2_12918_MCD,NONE,2,2
2_13242_MCD,E45,2,2
2_13242_MCD,E85,2,2
2_13242_MCD,NONE,2,0
2_13272_MCD,E45,2,2
2_13272_MCD,E85,4,2
2_13272_MCD,NONE,2,0
2_13363_MCD,E45,2,2
2_13363_MCD,E85,2,2
2_13363_MCD,NONE,2,2
2_13390_MCD,E45,2,2
2_13390_MCD,E85,2,2
2_13390_MCD,NONE,2,2
2_13424_MCD,E45,2,2
2_13424_MCD,E85,2,2
2_13424_MCD,NONE,2,2
2_13505_MCD,E45,2,2
2_13505_MCD,E85,2,2
2_13505_MCD,NONE,2,2
2_13655_MCD,E45,3,2
2_13655_MCD,E85,3,2
2_13655_MCD,NONE,3,2
2_14019_MCD,E45,2,2
2_14019_MCD,E85,2,2
2_14019_MCD,NONE,2,2
2_14349_MCD,E45,2,3
2_14349_MCD,E85,2,3
2_14349_MCD,NONE,2,3
2_14408_MCD,E45,3,2
2_14408_MCD,E85,3,2
2_14408_MCD,NONE,3,2
2_14453_MCD,E45,2,2
2_14453_MCD,E85,1,1
2_14453_MCD,NONE,2,2
2_14498_MCD,E45,0,2
2_14498_MCD,E85,0,2
2_14498_MCD,NONE,2,3
2_14499_MCD,E45,2,2
2_14499_MCD,E85,2,2
2_14499_MCD,NONE,2,2
2_15240_MCD,E45,1,2
2_15240_MCD,E85,1,2
2_15240_MCD,NONE,2,2
2_15668_MCD,E45,0,2
2_15668_MCD,E85,0,2
2_15668_MCD,NONE,2,2
2_17057_MCD,E45,3,2
2_17057_MCD,E85,3,2
2_17057_MCD,NONE,3,2
2_20529_MCD,E45,2,2
2_20529_MCD,E85,2,2
2_20529_MCD,NONE,2,2
2_20557_MCD,E45,2,2
2_20557_MCD,E85,2,2
2_20557_MCD,NONE,2,2
2_20646_MCD,E45,2,2
2_20646_MCD,E85,2,2
2_20646_MCD,NONE,2,2
2_20740_MCD,E45,3,2
2_20740_MCD,E85,3,2
2_20740_MCD,NONE,3,3
2_20824_MCD,E45,2,2
2_20824_MCD,E85,2,2
2_20824_MCD,NONE,2,2
2_20918_MCD,E45,2,1
2_20918_MCD,E85,2,2
2_20918_MCD,NONE,2,2
2_21112_MCD,E45,2,3
2_21112_MCD,E85,2,3
2_21112_MCD,NONE,2,3
2_22171_MCD,E45,2,2
2_22171_MCD,E85,2,2
2_22171_MCD,NONE,2,2
2_23446_MCD,E45,2,2
2_23446_MCD,E85,2,2
2_23446_MCD,NONE,2,2
2_23577_MCD,E45,2,3
2_23577_MCD,E85,2,3
2_23577_MCD,NONE,2,3
2_23604_MCD,E45,2,2
2_23604_MCD,E85,2,2
2_23604_MCD,NONE,2,2
2_23697_MCD,E45,2,3
2_23697_MCD,E85,2,3
2_23697_MCD,NONE,2,3
2_24119_MCD,E45,3,2
2_24119_MCD,E85,0,3
2_24119_MCD,NONE,3,2
2_24402_MCD,E45,0,3
2_24402_MCD,E85,0,3
2_24402_MCD,NONE,3,2
2_24422_MCD,E45,2,3
2_24422_MCD,E85,2,2
2_24422_MCD,NONE,2,3
2_24442_MCD,E45,2,2
2_24442_MCD,E85,2,2
2_24442_MCD,NONE,2,2
2_24518_MCD,E45,2,2
2_24518_MCD,E85,2,2
2_24518_MCD,NONE,2,2
2_24545_MCD,E45,2,2
2_24545_MCD,E85,2,2
2_24545_MCD,NONE,2,2
2_24619_MCD,E45,3,2
2_24619_MCD,E85,3,2
2_24619_MCD,NONE,3,2
2_24845_MCD,E45,2,2
2_24845_MCD,E85,2,2
2_24845_MCD,NONE,2,2
2_25021_MCD,E45,4,1
2_25021_MCD,E85,4,1
2_25021_MCD,NONE,4,1
2_25054_MCD,E45,2,3
2_25054_MCD,E85,2,3
2_25054_MCD,NONE,2,3
2_25090_MCD,E45,3,3
2_25090_MCD,E85,3,2
2_25090_MCD,NONE,3,3
2_25647_MCD,E45,2,2
2_25647_MCD,E85,2,2
2_25647_MCD,NONE,2,2
2_26627_MCD,E45,2,2
2_26627_MCD,E85,0,2
2_26627_MCD,NONE,2,2
2_26870_MCD,E45,3,2
2_26870_MCD,E85,1,1
2_26870_MCD,NONE,3,2
2_28983_MCD,E45,2,2
2_28983_MCD,E85,2,2
2_28983_MCD,NONE,2,2
2_29378_MCD,E45,2,2
2_29378_MCD,E85,2,2
2_29378_MCD,NONE,2,2
2_29379_MCD,E45,2,2
2_29379_MCD,E85,2,2
2_29379_MCD,NONE,2,2
2_29387_MCD,E45,2,2
2_29387_MCD,E85,2,2
2_29387_MCD,NONE,2,2
2_29453_MCD,E45,2,2
2_29453_MCD,E85,2,2
2_29453_MCD,NONE,2,2
2_29454_MCD,E45,3,2
2_29454_MCD,E85,3,2
2_29454_MCD,NONE,3,2
2_29474_MCD,E45,2,2
2_29474_MCD,E85,2,2
2_29474_MCD,NONE,2,2
2_29477_MCD,E45,2,2
2_29477_MCD,E85,2,2
2_29477_MCD,NONE,2,2
2_29491_MCD,E45,2,2
2_29491_MCD,E85,2,2
2_29491_MCD,NONE,2,2
2_73196_MCD,E45,2,2
2_73196_MCD,E85,2,2
2_73196_MCD,NONE,2,2
2_73774_MCD,E45,1,2
2_73774_MCD,E85,1,1
2_73774_MCD,NONE,2,2
2_78626_MCD,E45,2,2
2_78626_MCD,E85,2,2
2_78626_MCD,NONE,2,2
2_78660_MCD,E45,2,2
2_78660_MCD,E85,2,2
2_78660_MCD,NONE,2,2
2_80283_MCD,E45,2,2
2_80283_MCD,E85,2,2
2_80283_MCD,NONE,2,2
2_80665_MCD,E45,2,2
2_80665_MCD,E85,2,2
2_80665_MCD,NONE,2,3
2_82945_MCD,E45,3,2
2_82945_MCD,E85,3,2
2_82945_MCD,NONE,3,3
2_83102_MCD,E45,2,2
2_83102_MCD,E85,2,2
2_83102_MCD,NONE,2,0
2_84280_MCD,E45,1,2
2_84280_MCD,E85,1,1
2_84280_MCD,NONE,2,0
2_87684_MCD,E45,2,2
2_87684_MCD,E85,2,2
2_87684_MCD,NONE,2,2
2_89425_MCD,E45,2,2
2_89425_MCD,E85,2,2
2_89425_MCD,NONE,2,3
2_90854_MCD,E45,2,2
2_90854_MCD,E85,2,2
2_90854_MCD,NONE,1,1
2_92837_MCD,E45,2,3
2_92837_MCD,E85,2,3
2_92837_MCD,NONE,2,3
2_93828_MCD,E45,2,2
2_93828_MCD,E85,2,2
2_93828_MCD,NONE,2,2
2_93863_MCD,E45,2,3
2_93863_MCD,E85,2,3
2_93863_MCD,NONE,2,3
2_93981_MCD,E45,2,3
2_93981_MCD,E85,2,3
2_93981_MCD,NONE,2,3
2_94628_MCD,E45,2,2
2_94628_MCD,E85,0,2
2_94628_MCD,NONE,2,2
2_100761_MCD,E45,1,2
2_100761_MCD,E85,1,2
2_100761_MCD,NONE,2,3
2_105189_MCD,E45,2,3
2_105189_MCD,E85,2,3
2_105189_MCD,NONE,2,3
2_105510_MCD,E45,2,2
2_105510_MCD,E85,2,2
2_105510_MCD,NONE,1,1
2_105512_MCD,E45,2,2
2_105512_MCD,E85,2,2
2_105512_MCD,NONE,2,2
2_105519_MCD,E45,2,2
2_105519_MCD,E85,2,2
2_105519_MCD,NONE,2,0
2_128648_MCD,E45,2,2
2_128648_MCD,E85,2,2
2_128648_MCD,NONE,2,2
2_129282_MCD,E45,2,2
2_129282_MCD,E85,2,2
2_129282_MCD,NONE,2,2
2_129397_MCD,E45,2,2
2_129397_MCD,E85,1,2
2_129397_MCD,NONE,1,1
2_129875_MCD,E45,2,2
2_129875_MCD,E85,2,2
2_129875_MCD,NONE,2,2
2_131283_MCD,E45,2,2
2_131283_MCD,E85,2,2
2_131283_MCD,NONE,2,2
2_134808_MCD,E45,2,2
2_134808_MCD,E85,0,2
2_134808_MCD,NONE,2,2
2_135449_MCD,E45,3,2
2_135449_MCD,E85,3,2
2_135449_MCD,NONE,3,2
2_135799_MCD,E45,2,2
2_135799_MCD,E85,2,2
2_135799_MCD,NONE,2,2
2_136199_MCD,E45,2,2
2_136199_MCD,E85,2,2
2_136199_MCD,NONE,2,2
2_136433_MCD,E45,2,2
2_136433_MCD,E85,2,2
2_136433_MCD,NONE,2,3
2_137256_MCD,E45,2,2
2_137256_MCD,E85,2,2
2_137256_MCD,NONE,2,2
2_137268_MCD,E45,3,2
2_137268_MCD,E85,3,2
2_137268_MCD,NONE,3,2
2_137367_MCD,E45,2,2
2_137367_MCD,E85,2,2
2_137367_MCD,NONE,2,2
2_137472_MCD,E45,2,2
2_137472_MCD,E85,2,2
2_137472_MCD,NONE,2,2
2_137526_MCD,E45,2,2
2_137526_MCD,E85,2,2
2_137526_MCD,NONE,2,3
2_137593_MCD,E45,2,2
2_137593_MCD,E85,2,2
2_137593_MCD,NONE,2,2
2_137668_MCD,E45,3,2
2_137668_MCD,E85,2,2
2_137668_MCD,NONE,2,2
2_141014_MCD,E45,2,2
2_141014_MCD,E85,2,2
2_141014_MCD,NONE,2,2
2_141226_MCD,E45,3,3
2_141226_MCD,E85,3,2
2_141226_MCD,NONE,3,3
2_144938_MCD,E45,2,2
2_144938_MCD,E85,2,2
2_144938_MCD,NONE,2,2
2_145213_MCD,E45,0,2
2_145213_MCD,E85,0,2
2_145213_MCD,NONE,2,3
2_145350_MCD,E45,2,3
2_145350_MCD,E85,2,3
2_145350_MCD,NONE,2,3
2_145657_MCD,E45,2,2
2_145657_MCD,E85,2,2
2_145657_MCD,NONE,1,1
2_145720_MCD,E45,2,2
2_145720_MCD,E85,2,2
2_145720_MCD,NONE,0,2
2_146071_MCD,E45,2,3
2_146071_MCD,E85,2,3
2_146071_MCD,NONE,2,3
2_148989_MCD,E45,2,2
2_148989_MCD,E85,2,2
2_148989_MCD,NONE,2,2
2_149361_MCD,E45,0,2
2_149361_MCD,E85,0,2
2_149361_MCD,NONE,2,3
2_149531_MCD,E45,0,2
2_149531_MCD,E85,0,2
2_149531_MCD,NONE,2,2
3_8994_MHD,E45,0,2
3_8994_MHD,E85,0,2
3_8994_MHD,NONE,2,3
3_9023_MHD,E45,0,3
3_9023_MHD,E85,0,3
3_9023_MHD,NONE,3,2
3_9895_MHD,E45,0,2
3_9895_MHD,E85,0,2
3_9895_MHD,NONE,2,2
3_14525_MHD,E45,2,2
3_14525_MHD,E85,2,2
3_14525_MHD,NONE,0,0
3_15235_MHD,E45,2,2
3_15235_MHD,E85,2,2
3_15235_MHD,NONE,2,2
3_20888_MHD,E45,0,2
3_20888_MHD,E85,0,2
3_20888_MHD,NONE,2,2
3_20951_MHD,E45,3,2
3_20951_MHD,E85,3,2
3_20951_MHD,NONE,3,2
3_21148_MHD,E45,0,2
3_21148_MHD,E85,0,2
3_21148_MHD,NONE,3,2
3_23651_MHD,E45,0,2
3_23651_MHD,E85,2,2
3_23651_MHD,NONE,2,2
3_24440_MHD,E45,0,2
3_24440_MHD,E85,0,2
3_24440_MHD,NONE,2,3
3_24463_MHD,E45,0,3
3_24463_MHD,E85,0,3
3_24463_MHD,NONE,2,3
3_24481_MHD,E45,0,2
3_24481_MHD,E85,0,2
3_24481_MHD,NONE,3,2
3_24782_MHD,E45,0,3
