Stand,HillID,Hill Area (ha) within stand,PortionOfTotalHillArea,Sediment contribution from Hill segment (tonne/yr),CumulativeStandSedimentDelivery (tonnes),TotalStandSedimentDelivery
1,254,1.353835446,0.097398234,0.000,0,7.199019168
1,357,2.489182971,0.270563366,1.082,1.082253465,7.199019168
1,255,3.034350157,0.224766678,0.000,1.082253465,7.199019168
1,245,2.727298903,0.340912363,0.477,1.559530773,7.199019168
1,243,6.86213819,0.672758646,0.000,1.559530773,7.199019168
1,247,0.6622541,0.057587313,0.000,1.559530773,7.199019168
1,242,2.735160217,0.329537376,0.165,1.724299461,7.199019168
1,244,1.48117203,0.105047662,2.710,4.434529134,7.199019168
1,234,0.758879617,0.067757109,2.764,7.199019168,7.199019168
2,317,3.216557984,0.114468256,41.003,41.00252918,583.8087218
2,315,3.549777411,0.438244125,46.980,87.98229936,583.8087218
2,3,0.71687695,0.043185358,2.846,90.82821448,583.8087218
2,313,3.526023784,0.163241842,33.220,124.0479293,583.8087218
2,135,19.02765039,0.495511729,83.048,207.0956951,583.8087218
2,280,13.62150519,0.661238116,20.432,227.5279528,583.8087218
2,284,0.155485839,0.014531387,0.028,227.5555625,583.8087218
2,281,4.476133369,0.771747133,0.232,227.7870866,583.8087218
2,17,4.487376703,0.207748921,64.963,292.7501744,583.8087218
2,136,0.270130159,0.006891075,2.811,295.561044,583.8087218
2,137,6.466376244,0.229304122,0.046,295.6069049,583.8087218
2,136,23.72237548,0.60516264,246.846,542.4527456,583.8087218
2,134,4.238804384,0.225468318,41.283,583.7359947,583.8087218
2,138,0.070209589,0.002797195,0.073,583.8087218,583.8087218
20,341,0.859171081,0.064117245,0.000,0,138.1307691
20,264,1.282289905,0.12822899,0.833,0.833488438,138.1307691
20,265,4.113822962,0.472853214,0.189,1.022629724,138.1307691
20,269,0.020198366,0.010099183,0.000,1.022629724,138.1307691
20,344,0.079193304,0.158386609,0.000,1.022629724,138.1307691
20,342,3.101991317,0.469998684,0.000,1.022629724,138.1307691
20,343,3.827725129,0.539116215,0.054,1.076541345,138.1307691
20,345,0.206775812,0.025527878,0.077,1.153124979,138.1307691
20,258,0.090045417,0.12863631,0.000,1.153124979,138.1307691
20,266,20.12908071,0.972419358,64.860,66.01349616,138.1307691
20,256,7.394498495,0.859825406,0.000,66.01349616,138.1307691
20,257,6.659572828,0.951367547,0.000,66.01349616,138.1307691
20,263,4.714017175,0.567953876,0.114,66.12708694,138.1307691
20,259,2.51613239,0.314516549,7.077,73.20370928,138.1307691
20,258,0.288708521,0.412440744,0.000,73.20370928,138.1307691
20,248,0.090045182,0.017655918,0.004,73.20724047,138.1307691
20,250,0.49063767,0.446034246,0.000,73.20724047,138.1307691
20,356,6.09565752,0.331285735,0.000,73.20724047,138.1307691
20,355,2.152696815,0.321298032,0.000,73.20724047,138.1307691
20,253,2.490471332,0.132471879,1.643,74.84989177,138.1307691
20,262,0.022810057,0.000792016,0.002,74.85171341,138.1307691
