Frontier,SolutionIndex,Increase in fire hazard,Max Sediment delivery (t),Min NSO habitat
Ensemble_rcp85,0,15863.570693517839,8.485906299299933e-05,2468.9100870707302
Ensemble_rcp85,1,15717.023006650406,0,2479.3071950434055
Ensemble_rcp85,2,15407.766459740453,0.0015319580760699975,2463.9877452231503
Ensemble_rcp85,3,15408.508595758842,0.0001568517036599909,2465.394000189541
Ensemble_rcp85,4,15409.427259784969,4.973966874299981e-05,2466.9346397267723
Ensemble_rcp85,5,15408.030133832253,0.00020173720034299958,2471.2824492325403
Ensemble_rcp85,6,15407.664516470993,0.00020173720034299958,2473.1516709922903
Ensemble_rcp85,7,15436.39612616268,0.00020173720034299958,2479.1184256497722
Ensemble_rcp85,8,15461.896121066864,0.00020173720034299958,2481.011723301426
Ensemble_rcp85,9,15301.14018592929,0.00527707352107,2479.307195043406
Ensemble_rcp85,10,15364.808861286385,0.00527707352107,2481.0117233014257
Ensemble_rcp85,11,15249.846567099654,0.00527707352107,2464.2854460583203
Ensemble_rcp85,12,15495.081943132109,0.0001304716424399971,2476.1220762697926
Ensemble_rcp85,13,15226.950029731554,0.00527707352107,2466.20798723634
Ensemble_rcp85,14,15314.800720277648,0.00527707352107,2481.011723301426
Ensemble_rcp85,15,15250.114990679318,0.00527707352107,2468.3949843504306
Ensemble_rcp85,16,15238.858671685388,0.00527707352107,2469.6599886749505
Ensemble_rcp85,17,15250.100471895557,0.00527707352107,2472.018586397992
Ensemble_rcp85,18,15248.474536704418,0.008510072433409996,2473.0773241587026
Ensemble_rcp85,19,15176.44051414694,0.008510072433409996,2407.0796982257516
Ensemble_rcp85,20,15176.17370019766,0.04550081710437,2420.7534133655217
Ensemble_rcp85,21,15250.807700453717,0.00527707352107,2474.4772658932407
Ensemble_rcp85,22,15251.099054016475,0.06324888762417,2475.6915695000657
Ensemble_rcp85,24,15176.191235365253,0.06324888762417,2442.767740324722
Ensemble_rcp85,25,15251.005502417644,0.06324888762417,2477.0718830591127
Ensemble_rcp85,26,15215.526194889044,0.12913335790607,2481.0117233014257
Ensemble_rcp85,27,15151.16965559314,0.12913335790607,2473.077324158702
Ensemble_rcp85,28,15099.899136902959,0.12913335790607003,2440.0331969148615
Ensemble_rcp85,29,15100.767165236412,0.12913335790607,2441.2050351650323
Ensemble_rcp85,30,15163.648161350695,0.16935710148937,2474.47726589324
Ensemble_rcp85,31,15100.679143678311,0.12913335790607,2442.7677403247217
Ensemble_rcp85,32,15077.251720490414,0.17409035040300003,2479.307195043405
Ensemble_rcp85,33,15095.047540624342,0.17409035040300003,2481.0117233014253
Ensemble_rcp85,34,15645.903899769544,8.485906299299933e-05,2481.0117233014257
Ensemble_rcp85,35,15024.675700801734,0.17409035040299997,2459.4004197775325
Ensemble_rcp85,36,14993.721596277665,0.17409035040299997,2465.8171203268203
Ensemble_rcp85,37,15027.047227399587,0.17409035040299997,2472.6080441334902
Ensemble_rcp85,38,14975.223171687288,0.18038085985403995,2467.8304477939305
Ensemble_rcp85,39,15027.249752906242,0.17409035040299997,2473.641046955581
Ensemble_rcp85,40,15025.816110047743,0.17409035040299997,2475.1238667493612
Ensemble_rcp85,41,15027.157967788664,0.17942365067615,2476.181794151261
Ensemble_rcp85,42,15036.41396462509,0.18038085985404,2481.0117233024257
Ensemble_rcp85,43,14974.755241609708,0.17942365067614996,2468.845606657851
Ensemble_rcp85,44,14975.531791101845,0.17942365067614996,2470.0174449080205
Ensemble_rcp85,46,14969.34298185379,0.18038085985403998,2471.343039808971
Ensemble_rcp85,47,14974.694625435091,0.18038085985403998,2472.6080441334907
Ensemble_rcp85,48,14918.619311398112,0.18038085985403995,2430.265863435122
Ensemble_rcp85,49,14919.081294463682,0.18038085985404,2440.033196914863
Ensemble_rcp85,50,14974.946915445571,0.18038085985403998,2473.641046955582
Ensemble_rcp85,51,14918.631113316516,0.18571416012719,2446.841159343972
Ensemble_rcp85,52,14918.71648819278,0.18710517200916998,2460.963124937221
Ensemble_rcp85,53,14916.656605552622,0.18710517200916998,2462.2887198381713
Ensemble_rcp85,54,14975.533886688798,0.18710517200917004,2475.312636142995
Ensemble_rcp85,55,14979.45907081625,0.18710517200916998,2477.437973283656
Ensemble_rcp85,56,15495.132646224632,0.00012936557126999593,2479.909523309423
Ensemble_rcp85,57,14986.343110027834,0.18710517200917,2478.4718247936503
Ensemble_rcp85,58,14983.164855949864,0.21682586027733997,2479.6861284004763
Ensemble_rcp85,59,14915.215876886787,0.22215916055048995,2463.3949786779417
Ensemble_rcp85,60,14923.105038135096,0.21682586027733997,2472.6080441334902
Ensemble_rcp85,61,14976.700294726643,0.22215916055049004,2481.0117233014257
Ensemble_rcp85,62,14863.852283645509,0.22215916055048995,2442.7677403247217
Ensemble_rcp85,63,14917.048178146151,0.22215916055049234,2473.641046955581
Ensemble_rcp85,64,14864.32332988914,0.22215916055048995,2444.093335225671
Ensemble_rcp85,65,14924.86667477063,0.22215916055048995,2475.123866749361
Ensemble_rcp85,66,14925.04197777826,0.24369655748937,2476.172968959136
Ensemble_rcp85,67,15595.093409573708,5.91345086929998e-05,2481.0117233014257
Ensemble_rcp85,68,14861.503824085032,0.22732891559246998,2445.5761550194516
Ensemble_rcp85,69,14920.658844669593,0.26144462800916995,2477.4379732836546
Ensemble_rcp85,70,14866.776925937644,0.26144462800917,2465.457284308491
Ensemble_rcp85,71,14858.2600301887,0.36814482600917,2466.6590045140606
Ensemble_rcp85,72,14866.552891756115,0.31017301190607,2468.394984350431
Ensemble_rcp85,73,14865.522457135678,0.35039675548937,2470.017444908021
Ensemble_rcp85,74,14926.460515708257,0.31017301190606994,2478.4718247936507
Ensemble_rcp85,75,14865.346499915244,0.36814482600917,2472.117819482296
Ensemble_rcp85,76,14808.201624909354,0.38451246790607,2405.5169930660613
