stand,climate,baseline,trtIn1,trtIn2
40.0,Ensemble_rcp45,0.0,0.0,0.0
40.0,Ensemble_rcp85,0.0,0.0,0.0
41.0,NONE,0.0,0.0,0.0
41.0,Ensemble_rcp45,0.0,0.0,0.080337035
41.0,Ensemble_rcp85,0.0,0.0,0.0
42.0,NONE,0.0,0.0,0.0
42.0,Ensemble_rcp45,0.0,0.0,0.0
42.0,Ensemble_rcp85,0.0,0.0,0.0
43.0,NONE,0.0,0.0,0.0
43.0,Ensemble_rcp45,0.0,0.0,0.0
43.0,Ensemble_rcp85,0.0,0.0,0.0
44.0,NONE,0.0,0.0,0.0
44.0,Ensemble_rcp45,0.0,0.0,0.0
44.0,Ensemble_rcp85,0.0,0.0,0.0
45.0,NONE,0.0,0.0,0.0
45.0,Ensemble_rcp45,0.0,0.0,0.0
45.0,Ensemble_rcp85,0.0,0.0,0.0
46.0,NONE,0.0,0.0,0.0
46.0,Ensemble_rcp45,0.0,0.0,0.0
46.0,Ensemble_rcp85,0.0,0.0,0.0
47.0,NONE,0.0,1.6040447189999998,1.6040447189999998
47.0,Ensemble_rcp45,0.0,2.2808160785020664,16.1152785652438
47.0,Ensemble_rcp85,0.0,1.9240435392045454,1.8955832824648766
48.0,NONE,0.0,0.0,0.0
48.0,Ensemble_rcp45,0.0,0.0,0.0
48.0,Ensemble_rcp85,0.0,0.0,0.0
49.0,NONE,0.0,0.0,0.0
49.0,Ensemble_rcp45,0.0,0.0,0.0
49.0,Ensemble_rcp85,0.0,0.0,0.0
50.0,NONE,0.0,0.0,0.0
50.0,Ensemble_rcp45,0.0,0.0,0.0
50.0,Ensemble_rcp85,0.0,0.0,0.0
51.0,NONE,0.0,0.0,0.0
51.0,Ensemble_rcp45,0.0,0.0,0.0
51.0,Ensemble_rcp85,0.0,0.0,0.0
52.0,NONE,0.0,0.0,0.0
52.0,Ensemble_rcp45,0.0,0.0,0.0
52.0,Ensemble_rcp85,0.0,0.0,0.0
53.0,NONE,0.0,0.0,0.0
53.0,Ensemble_rcp45,0.0,0.0,0.0
53.0,Ensemble_rcp85,0.0,0.0,0.0
54.0,NONE,0.0,0.0,0.0
54.0,Ensemble_rcp45,0.0,0.0,0.0
54.0,Ensemble_rcp85,0.0,0.0,0.0
55.0,NONE,0.0,0.0,0.0
55.0,Ensemble_rcp45,0.0,0.0,0.0
55.0,Ensemble_rcp85,0.0,0.0,0.0
56.0,NONE,0.0,0.0,0.0
56.0,Ensemble_rcp45,0.0,0.0,0.006454420715277777
56.0,Ensemble_rcp85,0.0,0.0,0.0
57.0,NONE,0.0,0.5130056209999997,0.5120321757988612
57.0,Ensemble_rcp45,0.0,1.283581048999999,0.6775209070284635
57.0,Ensemble_rcp85,0.0,0.8398740190000004,0.0
58.0,NONE,0.0,0.0,0.0
58.0,Ensemble_rcp45,0.0,0.0,0.0
58.0,Ensemble_rcp85,0.0,0.0,0.0
59.0,NONE,0.0,0.0,0.0
59.0,Ensemble_rcp45,0.0,0.0,0.0
59.0,Ensemble_rcp85,0.0,0.0,0.0
60.0,NONE,0.0,0.0,0.0
60.0,Ensemble_rcp45,0.0,0.0,0.0
60.0,Ensemble_rcp85,0.0,0.0,0.0
61.0,NONE,0.0,0.25488921572916673,0.25142133524305554
61.0,Ensemble_rcp45,0.0,5.419585362228174,1.6167795906031752
61.0,Ensemble_rcp85,0.0,7.852332255357142,1.4734879897916666
62.0,NONE,0.0,0.0,0.0
62.0,Ensemble_rcp45,0.0,0.0,0.0
62.0,Ensemble_rcp85,0.0,0.1983770582677165,0.0
63.0,NONE,0.0,0.0,0.0
63.0,Ensemble_rcp45,0.0,0.0,0.0
63.0,Ensemble_rcp85,0.0,0.0,0.0
64.0,NONE,0.0,0.0,0.0
64.0,Ensemble_rcp45,0.0,0.0,0.0
64.0,Ensemble_rcp85,0.0,0.0,0.0
65.0,NONE,0.0,0.0,0.0
65.0,Ensemble_rcp45,0.0,0.0,0.0
65.0,Ensemble_rcp85,0.0,0.0,0.0
66.0,NONE,0.0,0.0,0.0
66.0,Ensemble_rcp45,0.0,0.0,0.0
66.0,Ensemble_rcp85,0.0,0.0,0.0
67.0,NONE,0.0,0.0,0.0
67.0,Ensemble_rcp45,0.0,0.0,0.0
67.0,Ensemble_rcp85,0.0,0.0,0.0
68.0,NONE,0.0,0.0,0.0
68.0,Ensemble_rcp45,0.0,0.0,0.0
68.0,Ensemble_rcp85,0.0,0.0,0.0
69.0,NONE,0.0,0.0,0.0
69.0,Ensemble_rcp45,0.0,0.0,0.0
69.0,Ensemble_rcp85,0.0,0.0,0.0
70.0,NONE,0.0,0.0,0.0
70.0,Ensemble_rcp45,0.0,0.0,0.0
70.0,Ensemble_rcp85,0.0,0.0,0.0
71.0,NONE,0.0,0.0,0.0
71.0,Ensemble_rcp45,0.0,0.0,0.0
71.0,Ensemble_rcp85,0.0,0.0,0.0
72.0,NONE,0.0,0.0517490350243902,0.05126987729268288
72.0,Ensemble_rcp45,0.0,0.0,0.0
72.0,Ensemble_rcp85,0.0,0.0,0.0
73.0,NONE,0.0,0.0,0.0
73.0,Ensemble_rcp45,0.0,0.0,0.0
73.0,Ensemble_rcp85,0.0,0.0,0.0
74.0,NONE,0.0,0.0,0.0
74.0,Ensemble_rcp45,0.0,0.0,0.0
74.0,Ensemble_rcp85,0.0,0.0,0.0
75.0,NONE,0.0,0.0,0.0
75.0,Ensemble_rcp45,0.0,0.0,0.0
75.0,Ensemble_rcp85,0.0,0.0,0.0
76.0,NONE,0.0,0.0,0.0
76.0,Ensemble_rcp45,0.0,0.0,0.0
76.0,Ensemble_rcp85,0.0,0.0,0.0
77.0,NONE,0.0,0.0,0.0
77.0,Ensemble_rcp45,0.0,0.0,0.0
77.0,Ensemble_rcp85,0.0,0.0,0.0
78.0,NONE,0.0,0.0,0.0
78.0,Ensemble_rcp45,0.0,0.0,0.0
78.0,Ensemble_rcp85,0.0,0.0,0.0
79.0,NONE,0.0,0.0,0.0
79.0,Ensemble_rcp45,0.0,0.0,0.0
79.0,Ensemble_rcp85,0.0,0.0,0.0
80.0,NONE,0.0,0.0,0.0
80.0,Ensemble_rcp45,0.0,0.06084488916786571,0.0
80.0,Ensemble_rcp85,0.0,0.05797181410311751,0.0
81.0,NONE,0.06867670599999999,0.137353412,0.137353412
81.0,Ensemble_rcp45,0.06867670599999999,0.41206023699999994,0.07920994311656443
81.0,Ensemble_rcp85,0.06867670599999999,0.274706824,-0.036445000423312876
82.0,NONE,0.0,0.20777343661290323,0.20777343661290323
82.0,Ensemble_rcp45,0.0,1.701273224612903,0.779971220046083
82.0,Ensemble_rcp85,0.0,1.4523064114193547,0.08298893793548387
83.0,NONE,0.0,0.0,0.0
83.0,Ensemble_rcp45,0.0,0.0,0.0
83.0,Ensemble_rcp85,0.0,0.0,0.0
84.0,NONE,0.0,0.0,0.0
84.0,Ensemble_rcp45,0.0,0.0,0.0
84.0,Ensemble_rcp85,0.0,0.0,0.0
85.0,NONE,0.0,0.0,0.0
85.0,Ensemble_rcp45,0.0,0.0,0.0
85.0,Ensemble_rcp85,0.0,0.0,0.0
86.0,NONE,0.0,0.264755803,0.2590708624447852
86.0,Ensemble_rcp45,0.0,0.17881253477300613,0.021792272539877294
86.0,Ensemble_rcp85,0.0,9.158574501582823,0.0
87.0,NONE,0.0,0.0,0.0
87.0,Ensemble_rcp45,0.0,0.0,0.0
87.0,Ensemble_rcp85,0.0,0.0,0.0
88.0,NONE,0.0,0.0,0.0
88.0,Ensemble_rcp45,0.0,0.0,0.0
88.0,Ensemble_rcp85,0.0,0.0,0.0
89.0,NONE,0.0,0.0,0.0
89.0,Ensemble_rcp45,0.0,0.0,0.0
89.0,Ensemble_rcp85,0.0,0.0,0.0
90.0,NONE,0.0,0.0,0.0
90.0,Ensemble_rcp45,0.0,0.0,0.0
90.0,Ensemble_rcp85,0.0,0.0,0.0
91.0,NONE,0.0,0.0,0.0
91.0,Ensemble_rcp45,0.0,0.0,0.0
91.0,Ensemble_rcp85,0.0,0.0,0.0
92.0,NONE,0.0,0.0,0.0
92.0,Ensemble_rcp45,0.0,0.0,0.0
92.0,Ensemble_rcp85,0.0,0.0,0.0
93.0,NONE,0.0,0.0,0.0
93.0,Ensemble_rcp45,0.0,0.0,0.0
93.0,Ensemble_rcp85,0.0,0.0,0.0
94.0,NONE,0.0,0.0,0.0
94.0,Ensemble_rcp45,0.0,0.0,0.0
94.0,Ensemble_rcp85,0.0,0.0,0.0
95.0,NONE,0.0,0.0,0.0
95.0,Ensemble_rcp45,0.0,0.0,0.0
95.0,Ensemble_rcp85,0.0,0.0,0.0
96.0,NONE,0.0,0.0,0.0
96.0,Ensemble_rcp45,0.0,0.0,0.0
96.0,Ensemble_rcp85,0.0,0.0,0.0
97.0,NONE,0.0,0.0,0.0
97.0,Ensemble_rcp45,0.0,0.0,0.0
97.0,Ensemble_rcp85,0.0,0.0,0.0
98.0,NONE,0.0,0.0,0.0
98.0,Ensemble_rcp45,0.0,0.0,0.0
98.0,Ensemble_rcp85,0.0,0.0,0.0
99.0,NONE,0.0,0.0,0.0
99.0,Ensemble_rcp45,0.0,0.0,0.0
99.0,Ensemble_rcp85,0.0,0.0,0.0
100.0,NONE,0.0,0.0,0.0
100.0,Ensemble_rcp45,0.0,0.0,0.0
100.0,Ensemble_rcp85,0.0,0.0,0.0
101.0,NONE,0.0,0.0,0.0
101.0,Ensemble_rcp45,0.0,0.0,0.0
101.0,Ensemble_rcp85,0.0,0.0,0.0
102.0,NONE,0.0,0.0,0.0
102.0,Ensemble_rcp45,0.0,0.0,0.0
102.0,Ensemble_rcp85,0.0,0.0,0.0
103.0,NONE,0.0,0.0,0.0
103.0,Ensemble_rcp45,0.0,0.0,0.0
103.0,Ensemble_rcp85,0.0,0.0,0.0
104.0,NONE,0.0,0.0,0.0
104.0,Ensemble_rcp45,0.0,0.0,0.0
104.0,Ensemble_rcp85,0.0,0.0,0.0
105.0,NONE,0.0,0.0,0.0
105.0,Ensemble_rcp45,0.0,0.0,0.0
105.0,Ensemble_rcp85,0.0,0.0,0.0
106.0,NONE,0.0,0.0,0.0
106.0,Ensemble_rcp45,0.0,0.0,0.0
106.0,Ensemble_rcp85,0.0,0.0,0.0
107.0,NONE,0.0,0.0,0.0
107.0,Ensemble_rcp45,0.0,0.0,0.0
107.0,Ensemble_rcp85,0.0,0.0,0.0
108.0,NONE,3.075317002378918,8.072416605284902,8.021357284096867
108.0,Ensemble_rcp45,3.075317002378918,8.274708962549859,5.757269511527065
108.0,Ensemble_rcp85,3.075317002378918,9.262978641809115,3.564251727843305
109.0,NONE,0.018584864,0.037169728000000006,0.037169728000000006
109.0,Ensemble_rcp45,0.018584864,0.111509184,0.030145527433070862
109.0,Ensemble_rcp85,0.018584864,0.07433945600000001,-0.011707000944881888
110.0,NONE,0.0,0.0,0.0
110.0,Ensemble_rcp45,0.0,0.0,0.0
110.0,Ensemble_rcp85,0.0,0.0,0.0
111.0,NONE,0.0,0.0,0.0
111.0,Ensemble_rcp45,0.0,0.0,0.0
111.0,Ensemble_rcp85,0.0,0.0,0.0
112.0,NONE,0.0,0.0,0.0
112.0,Ensemble_rcp45,0.0,0.0,0.0
112.0,Ensemble_rcp85,0.0,0.0,0.0
113.0,NONE,0.0,0.0,0.0
113.0,Ensemble_rcp45,0.0,0.0,0.0
113.0,Ensemble_rcp85,0.0,0.0,0.0
114.0,NONE,0.0,0.0,0.0
114.0,Ensemble_rcp45,0.0,0.0,0.0
114.0,Ensemble_rcp85,0.0,0.0,0.0
115.0,NONE,0.0,0.0007589410523627072,0.0007589410523627072
115.0,Ensemble_rcp45,0.0,0.006214994206896553,26.644889669430395
115.0,Ensemble_rcp85,0.0,0.005277073521072798,17.663804153891434
116.0,NONE,0.0,0.07243509181818182,0.07243509181818182
116.0,Ensemble_rcp45,0.0,0.0,0.0
116.0,Ensemble_rcp85,0.0,0.0,0.0
117.0,NONE,0.0,0.0016478856279069775,0.001656379883720931
117.0,Ensemble_rcp45,0.0,0.035083250158139546,0.0014270345860465114
117.0,Ensemble_rcp85,0.0,0.40764032498604647,0.2950214681627907
118.0,NONE,0.0,0.0,0.0
118.0,Ensemble_rcp45,0.0,0.7954528294117647,0.0
118.0,Ensemble_rcp85,0.0,0.8429103435294117,0.0
119.0,NONE,0.0,0.039187116000000015,0.03903404132812502
119.0,Ensemble_rcp45,0.0,0.0,0.0
119.0,Ensemble_rcp85,0.0,0.0,0.0
120.0,NONE,0.0,0.0,0.0
120.0,Ensemble_rcp45,0.0,0.0,0.0
120.0,Ensemble_rcp85,0.0,0.0,0.0
121.0,NONE,0.0,0.0,0.0
121.0,Ensemble_rcp45,0.0,0.0,0.0
121.0,Ensemble_rcp85,0.0,0.0,0.0
122.0,NONE,0.0,0.0,0.0
122.0,Ensemble_rcp45,0.0,0.0,0.0
122.0,Ensemble_rcp85,0.0,0.0,0.0
123.0,NONE,0.0,0.0,0.0
123.0,Ensemble_rcp45,0.0,0.0,0.0
123.0,Ensemble_rcp85,0.0,0.0,0.0
124.0,NONE,0.0,0.0,0.0
124.0,Ensemble_rcp45,0.0,0.0,0.0
124.0,Ensemble_rcp85,0.0,0.0,0.0
125.0,NONE,0.0,0.0,0.0
125.0,Ensemble_rcp45,0.0,0.0,0.0
125.0,Ensemble_rcp85,0.0,0.0,0.0
126.0,NONE,0.0,0.0,0.0
126.0,Ensemble_rcp45,0.0,0.0,0.0
126.0,Ensemble_rcp85,0.0,0.0,0.0
127.0,NONE,0.0,0.03268961098039216,0.032008577418300654
127.0,Ensemble_rcp45,0.0,0.028943926555555555,0.020941782235294117
127.0,Ensemble_rcp85,0.0,0.0008512919542483661,0.0
128.0,NONE,0.0,0.2713505131983122,0.2583672350548523
128.0,Ensemble_rcp45,0.0,0.07497843127848101,0.4453264403206753
128.0,Ensemble_rcp85,0.0,0.10175644256962024,3.0873998540084386
129.0,NONE,0.0,0.0,0.0
129.0,Ensemble_rcp45,0.0,0.0,0.0
129.0,Ensemble_rcp85,0.0,0.0,0.0
130.0,NONE,0.0,0.0,0.0
130.0,Ensemble_rcp45,0.0,0.0,0.0
130.0,Ensemble_rcp85,0.0,0.0,0.0
131.0,NONE,0.0,0.0,0.0
131.0,Ensemble_rcp45,0.0,0.0,0.0
131.0,Ensemble_rcp85,0.0,0.0,0.0
132.0,NONE,0.0,0.0,0.0
132.0,Ensemble_rcp45,0.0,0.0,0.0
132.0,Ensemble_rcp85,0.0,0.0,0.0
133.0,NONE,0.0,0.0,0.0
133.0,Ensemble_rcp45,0.0,0.0,0.0
133.0,Ensemble_rcp85,0.0,0.0,0.0
134.0,NONE,0.0,0.0,0.0
134.0,Ensemble_rcp45,0.0,0.0,0.0
134.0,Ensemble_rcp85,0.0,0.0,0.0037705522121212125
135.0,NONE,0.0,0.0,0.0
135.0,Ensemble_rcp45,0.0,0.0,0.0
135.0,Ensemble_rcp85,0.0,0.0,0.0
136.0,NONE,0.0,0.0,0.0
136.0,Ensemble_rcp45,0.0,0.0,0.0
136.0,Ensemble_rcp85,0.0,0.0,0.0
137.0,NONE,0.0,0.0,0.0
137.0,Ensemble_rcp45,0.0,0.0,0.0
137.0,Ensemble_rcp85,0.0,0.0,0.0
