Stand,climateScenario,none,first,second,both
72,Ensemble_rcp45,,,,
72,Ensemble_rcp85,,,,
73,NONE,,,,
73,Ensemble_rcp45,,,,
73,Ensemble_rcp85,,,,
74,NONE,,,,
74,Ensemble_rcp45,,,,
74,Ensemble_rcp85,,,,
75,NONE,,,,
75,Ensemble_rcp45,,,,
75,Ensemble_rcp85,,,,
76,NONE,,,,
76,Ensemble_rcp45,,,,
76,Ensemble_rcp85,,,,
77,NONE,,,,
77,Ensemble_rcp45,,,,
77,Ensemble_rcp85,,,,
78,NONE,,,,
78,Ensemble_rcp45,,,,
78,Ensemble_rcp85,,,,
79,NONE,,,,
79,Ensemble_rcp45,,,,
79,Ensemble_rcp85,,,,
80,NONE,,,,
80,Ensemble_rcp45,,,,
80,Ensemble_rcp85,,,,
81,NONE,,,,
81,Ensemble_rcp45,,,,
81,Ensemble_rcp85,,,,
82,NONE,,,,
82,Ensemble_rcp45,,,,
82,Ensemble_rcp85,,,,
83,NONE,,,,
83,Ensemble_rcp45,,,,
83,Ensemble_rcp85,,,,
84,NONE,,,,
84,Ensemble_rcp45,,,,
84,Ensemble_rcp85,,,,
85,NONE,,,,
85,Ensemble_rcp45,,,,
85,Ensemble_rcp85,,,,
86,NONE,,,,
86,Ensemble_rcp45,,,,
86,Ensemble_rcp85,,,,
87,NONE,,,,
87,Ensemble_rcp45,,,,
87,Ensemble_rcp85,,,,
88,NONE,,,,
88,Ensemble_rcp45,,,,
88,Ensemble_rcp85,,,,
89,NONE,,,,
89,Ensemble_rcp45,,,,
89,Ensemble_rcp85,,,,
90,NONE,,,,
90,Ensemble_rcp45,,,,
90,Ensemble_rcp85,,,,
91,NONE,,,,
91,Ensemble_rcp45,,,,
91,Ensemble_rcp85,,,,
92,NONE,,,,
92,Ensemble_rcp45,,,,
92,Ensemble_rcp85,,,,
93,NONE,,,,
93,Ensemble_rcp45,,,,
93,Ensemble_rcp85,,,,
94,NONE,,,,
94,Ensemble_rcp45,,,,
94,Ensemble_rcp85,,,,
95,NONE,,,,
95,Ensemble_rcp45,,,,
95,Ensemble_rcp85,,,,
96,NONE,,,,
96,Ensemble_rcp45,,,,
96,Ensemble_rcp85,,,,
97,NONE,,,,
97,Ensemble_rcp45,,,,
97,Ensemble_rcp85,,,,
98,NONE,,,,
98,Ensemble_rcp45,,,,
98,Ensemble_rcp85,,,,
99,NONE,,,,
99,Ensemble_rcp45,,,,
99,Ensemble_rcp85,,,,
100,NONE,,,,
