Stand_GNN_PAG,ClimateScenario,Year,TEMFM1,TreatmentAssignment
11_13239_MCW,NONE,2095,5,trtInBoth
104_133913_MCW,NONE,2095,9,trtInBoth
286_24218_MHD,NONE,2095,9,trtInBoth
221_14528_MCD,NONE,2095,13,trtInBoth
277_133151_MHD,NONE,2095,9,trtInBoth
74_137256_MCW,NONE,2095,12,trtInBoth
286_85910_MCW,NONE,2095,9,trtInBoth
226_24981_MCW,NONE,2095,13,trtInBoth
0_137444_MCD,NONE,2095,9,trtInBoth
105_133889_MCW,NONE,2095,9,trtInBoth
123_84053_MHD,NONE,2095,13,trtInBoth
112_137472_MCD,NONE,2095,9,trtInBoth
112_145350_MCD,NONE,2095,12,trtInBoth
15_25172_MCW,NONE,2095,13,trtInBoth
0_24259_MCD,NONE,2095,5,trtInBoth
77_20610_MHD,NONE,2095,13,trtInBoth
151_80679_MHD,NONE,2095,13,trtInBoth
297_9024_MCW,NONE,2095,13,trtInBoth
293_137268_MCW,NONE,2095,13,trtInBoth
67_20983_MHD,NONE,2095,13,trtInBoth
66_8711_MCW,NONE,2095,5,trtInBoth
209_132547_MHD,NONE,2095,13,trtInBoth
111_85910_MHD,NONE,2095,9,trtInBoth
61_149040_MHD,NONE,2095,12,trtInBoth
123_9057_MHD,NONE,2095,13,trtInBoth
180_24259_MHD,NONE,2095,5,trtInBoth
84_94203_MHD,NONE,2095,9,trtInBoth
2_15240_MCD,NONE,2095,8,trtInBoth
124_20674_MCD,NONE,2095,9,trtInBoth
295_25151_MCW,NONE,2095,12,trtInBoth
111_14451_MHD,NONE,2095,13,trtInBoth
111_14452_MHD,NONE,2095,13,trtInBoth
64_21112_MCD,NONE,2095,12,trtInBoth
256_29475_MHD,NONE,2095,13,trtInBoth
101_140681_MCW,NONE,2095,13,trtInBoth
7_20888_LPD,NONE,2095,5,trtInBoth
65_137417_MCD,NONE,2095,9,trtInBoth
102_25120_MCW,NONE,2095,12,trtInBoth
