stand,climateScenario,none,first,second,both
56,Ensemble_rcp85,True,True,True,True
57,NONE,True,True,True,True
57,Ensemble_rcp45,True,True,True,True
57,Ensemble_rcp85,True,True,True,True
58,NONE,True,True,True,True
58,Ensemble_rcp45,True,True,True,True
58,Ensemble_rcp85,True,True,True,True
59,NONE,True,True,True,True
59,Ensemble_rcp45,True,True,True,True
59,Ensemble_rcp85,True,True,True,True
60,NONE,True,True,True,True
60,Ensemble_rcp45,True,True,True,True
60,Ensemble_rcp85,True,True,True,True
61,NONE,False,False,False,False
61,Ensemble_rcp45,False,False,False,False
61,Ensemble_rcp85,False,False,False,False
62,NONE,False,False,False,False
62,Ensemble_rcp45,False,False,False,False
62,Ensemble_rcp85,False,False,False,False
63,NONE,False,False,False,False
63,Ensemble_rcp45,False,False,False,False
63,Ensemble_rcp85,False,False,False,False
64,NONE,True,True,True,True
64,Ensemble_rcp45,True,True,True,True
64,Ensemble_rcp85,True,True,True,True
65,NONE,True,True,True,True
65,Ensemble_rcp45,True,True,True,True
65,Ensemble_rcp85,True,True,True,True
66,NONE,True,True,True,True
66,Ensemble_rcp45,True,True,True,True
66,Ensemble_rcp85,True,True,True,True
67,NONE,True,True,True,True
67,Ensemble_rcp45,True,True,True,True
67,Ensemble_rcp85,True,True,True,True
68,NONE,True,True,True,True
68,Ensemble_rcp45,True,False,True,False
68,Ensemble_rcp85,True,True,True,True
69,NONE,True,True,True,True
69,Ensemble_rcp45,True,True,True,True
69,Ensemble_rcp85,True,True,True,True
70,NONE,True,True,True,True
70,Ensemble_rcp45,True,True,True,True
70,Ensemble_rcp85,True,True,True,True
71,NONE,True,True,True,True
71,Ensemble_rcp45,True,True,True,True
71,Ensemble_rcp85,True,True,True,True
72,NONE,True,True,True,True
72,Ensemble_rcp45,True,True,True,True
72,Ensemble_rcp85,True,True,True,True
73,NONE,True,True,True,True
73,Ensemble_rcp45,True,True,True,True
73,Ensemble_rcp85,True,True,True,True
74,NONE,False,False,False,False
74,Ensemble_rcp45,False,False,False,False
74,Ensemble_rcp85,False,False,False,False
75,NONE,False,False,False,False
75,Ensemble_rcp45,False,False,False,False
75,Ensemble_rcp85,False,False,False,False
76,NONE,False,False,False,False
76,Ensemble_rcp45,False,False,False,False
76,Ensemble_rcp85,False,False,False,False
77,NONE,True,True,True,True
77,Ensemble_rcp45,True,True,True,True
77,Ensemble_rcp85,True,True,True,True
78,NONE,False,False,False,False
78,Ensemble_rcp45,False,False,False,False
78,Ensemble_rcp85,False,False,False,False
79,NONE,False,False,False,False
79,Ensemble_rcp45,False,False,False,False
79,Ensemble_rcp85,False,False,False,False
80,NONE,False,False,False,False
80,Ensemble_rcp45,False,False,False,False
80,Ensemble_rcp85,False,False,False,False
81,NONE,True,True,True,True
81,Ensemble_rcp45,True,True,True,True
81,Ensemble_rcp85,True,True,True,True
82,NONE,True,True,True,True
82,Ensemble_rcp45,True,True,True,True
82,Ensemble_rcp85,True,True,True,True
83,NONE,True,True,True,True
83,Ensemble_rcp45,False,False,False,False
83,Ensemble_rcp85,True,True,True,True
84,NONE,False,False,False,False
84,Ensemble_rcp45,False,False,False,False
84,Ensemble_rcp85,False,False,False,False
85,NONE,False,False,False,False
85,Ensemble_rcp45,False,False,False,False
85,Ensemble_rcp85,False,False,False,False
86,NONE,False,False,False,False
86,Ensemble_rcp45,False,False,False,False
86,Ensemble_rcp85,False,False,False,False
87,NONE,False,False,False,False
87,Ensemble_rcp45,False,False,False,False
87,Ensemble_rcp85,False,False,False,False
88,NONE,True,True,True,True
88,Ensemble_rcp45,True,True,True,True
88,Ensemble_rcp85,True,True,True,True
89,NONE,True,True,True,True
89,Ensemble_rcp45,True,True,True,True
89,Ensemble_rcp85,True,True,True,True
90,NONE,False,False,False,False
90,Ensemble_rcp45,False,False,False,False
90,Ensemble_rcp85,False,False,False,False
91,NONE,False,False,False,False
91,Ensemble_rcp45,False,False,False,False
91,Ensemble_rcp85,False,False,False,False
92,NONE,True,True,True,True
92,Ensemble_rcp45,True,True,True,True
92,Ensemble_rcp85,True,True,True,True
93,NONE,False,False,False,False
93,Ensemble_rcp45,False,False,False,False
93,Ensemble_rcp85,False,False,False,False
94,NONE,False,False,False,False
94,Ensemble_rcp45,False,False,False,False
94,Ensemble_rcp85,False,False,False,False
95,NONE,False,False,False,False
95,Ensemble_rcp45,False,False,False,False
95,Ensemble_rcp85,False,False,False,False
96,NONE,True,True,True,True
96,Ensemble_rcp45,True,True,True,True
96,Ensemble_rcp85,True,True,True,True
97,NONE,True,True,True,True
97,Ensemble_rcp45,False,False,False,False
97,Ensemble_rcp85,False,False,False,False
98,NONE,False,False,False,False
98,Ensemble_rcp45,False,False,False,False
98,Ensemble_rcp85,False,False,False,False
99,NONE,False,False,False,False
99,Ensemble_rcp45,False,False,False,False
99,Ensemble_rcp85,False,False,False,False
100,NONE,True,True,True,True
100,Ensemble_rcp45,True,True,True,True
100,Ensemble_rcp85,True,True,True,True
101,NONE,True,True,True,True
101,Ensemble_rcp45,True,True,True,True
101,Ensemble_rcp85,True,True,True,True
102,NONE,False,False,False,False
102,Ensemble_rcp45,False,False,False,False
102,Ensemble_rcp85,False,False,False,False
103,NONE,True,True,True,True
103,Ensemble_rcp45,True,True,True,True
103,Ensemble_rcp85,True,True,True,True
104,NONE,True,True,True,True
104,Ensemble_rcp45,True,True,True,True
104,Ensemble_rcp85,True,True,True,True
105,NONE,True,True,True,True
105,Ensemble_rcp45,True,True,True,True
105,Ensemble_rcp85,False,True,False,True
106,NONE,True,True,True,True
106,Ensemble_rcp45,True,True,True,True
106,Ensemble_rcp85,True,True,True,True
107,NONE,True,True,True,True
107,Ensemble_rcp45,True,True,True,True
107,Ensemble_rcp85,True,True,True,True
108,NONE,True,True,True,True
108,Ensemble_rcp45,True,True,True,True
108,Ensemble_rcp85,True,True,True,True
109,NONE,False,False,False,False
109,Ensemble_rcp45,False,False,False,False
109,Ensemble_rcp85,False,False,False,False
110,NONE,True,True,True,True
110,Ensemble_rcp45,True,True,True,True
