stand,climateScenario,none,first,second,both
21.0,Ensemble_rcp85,-514.9098985604224,-514.9098985604224,-496.18262825082843,-451.16515154507374
22.0,NONE,-173.1032565711407,-280.4345033386329,-259.7452310240238,-362.3784770912553
22.0,Ensemble_rcp45,-494.64526603705406,-495.9101123794319,-496.09080471405736,-132.8992121169875
22.0,Ensemble_rcp85,-354.60870670236284,-354.60870670236284,-52.2200847067429,-172.6515257345773
23.0,NONE,-101.06514192808174,-83.34819563153549,-72.78784833162365,-88.06107789761181
23.0,Ensemble_rcp45,-168.4419032134696,-158.05610710859767,-170.0128639688284,-22.168001770062844
23.0,Ensemble_rcp85,-57.34006757059562,-59.17285511851421,15.971434346147635,-67.28948568786792
24.0,NONE,-263.37623061026244,-196.1505123052006,-181.47319914425717,-262.28902222797035
24.0,Ensemble_rcp45,-313.4784168942236,-303.69354145359466,-313.4784168942236,-221.06570439939466
24.0,Ensemble_rcp85,-292.64025623362494,-278.0535437712059,-248.24591395669736,-153.29638190318678
25.0,NONE,-546.7313491589232,-458.7773554683847,-424.52819584576935,-1003.2672674792312
25.0,Ensemble_rcp45,-666.3344353803083,-660.8653287390005,-662.2101910278467,-706.9492765034619
25.0,Ensemble_rcp85,-389.92040627946164,-393.4170482304616,84.18837928176922,-275.9657416712308
26.0,NONE,-36.0822586012307,-31.145631180664314,-29.26073707462987,-141.00803050381452
26.0,Ensemble_rcp45,-48.46870558374273,-50.89214086292988,-52.05898007142739,-135.62261877228752
26.0,Ensemble_rcp85,-16.694776367733606,-12.296690120319914,23.516297894334436,-119.10735612893814
27.0,NONE,-90.66324664400156,-88.40118959200554,-91.56806946479999,-129.93255706665298
27.0,Ensemble_rcp45,-132.37557868280868,-132.01364955448932,-131.47075586201026,-118.71275408875258
27.0,Ensemble_rcp85,-93.64916195263638,-98.71616974910754,-61.98036322469169,-59.08493019813675
28.0,NONE,-231.082264860543,-150.83043954463346,-169.19162725642082,-173.93866603068778
28.0,Ensemble_rcp45,-196.59905867011312,-193.73292205168778,-186.65714727495023,-49.97825728379186
28.0,Ensemble_rcp85,-148.2330032341855,-143.21726415194118,-2.77656984909955,-94.40337486938462
29.0,NONE,-143.86795465960512,-72.65331710310058,-82.81399140093518,-51.073123904159814
29.0,Ensemble_rcp45,-289.804011167442,-293.13095761894533,-290.9729382990513,-218.8591260259243
